"","x"
"1101","100"
"1102","42"
"1103","96"
"1104","85"
"1105","100"
"1106","100"
"1107","96"
"1108","100"
"1109","83"
"1110","54"
"1111","62"
"1112","44"
"1113","58"
"1114","83"
"1115","83"
"1116","83"
"1117","17"
"1118","83"
"1119","73"
"1120","96"
"1121","96"
"1122","85"
"1123","73"
"1124","75"
"1125","73"
"1126","54"
"1127","65"
"1128","77"
"1129","77"
"1130","88"
"1131","83"
"1132","23"
"1133","52"
"1134","8"
"1135","2"
"1136","46"
"1137","46"
"1138","40"
"1139","38"
"1140","23"
"1141","73"
"1142","73"
"1143","65"
"1144","8"
"1145","23"
"1146","38"
"1147","58"
"1148","44"
"1149","54"
"1150","54"
"1151","58"
"1152","23"
"1153","73"
"1154","73"
"1155","40"
"1156","15"
"1157","15"
"1158","38"
"1159","0"
"1160","0"
"1161","0"
"1162","15"
"1163","73"
"1164","83"
"1165","50"
"1166","71"
"1167","75"
"1168","75"
"1169","83"
"1170","75"
"1171","100"
"1172","56"
"1173","0"
"1174","23"
"1175","54"
"1176","73"
"1177","71"
"1178","79"
"1179","83"
"1180","54"
"1181","15"
"1182","54"
"1183","96"
"1184","0"
"1185","77"
"1186","67"
"1187","58"
"1188","96"
"1189","48"
"1190","83"
"1191","73"
"1192","54"
"1193","96"
"1194","83"
"1195","8"
"1196","0"
"1197","48"
"1198","88"
"1199","85"
"1200","0"
"1201","100"
"1202","73"
"1203","48"
"1204","96"
"1205","83"
"1206","73"
"1207","81"
"1208","100"
"1209","38"
"1210","38"
"1211","83"
"1212","83"
"1213","25"
"1214","73"
"1215","83"
"1216","69"
"1217","85"
"1218","96"
"1219","73"
"1220","54"
"1221","73"
"1222","73"
"1223","73"
"1224","33"
"1225","40"
"1226","96"
"1227","38"
"1228","73"
"1229","96"
"1230","23"
"1231","38"
"1232","83"
"1233","65"
"1234","73"
"1235","54"
"1236","65"
"1237","50"
"1238","73"
"1239","73"
"1240","58"
"1241","54"
"1242","73"
"1243","71"
"1244","73"
"1245","100"
"1246","100"
"1247","54"
"1248","69"
"1249","88"
"1250","83"
"1251","52"
"1252","27"
"1253","63"
"1254","81"
"1255","58"
"1256","58"
"1257","33"
"1258","38"
"1259","48"
"1260","38"
"1261","71"
"1262","81"
"1263","73"
"1264","54"
"1265","65"
"1266","73"
"1267","96"
"1268","44"
"1269","96"
"1270","83"
"1271","65"
"1272","69"
"1273","83"
"1274","15"
"1275","71"
"1276","23"
"1277","54"
"1278","100"
"1279","42"
"1280","54"
"1281","96"
"1282","71"
"1283","50"
"1284","58"
"1285","67"
"1286","69"
"1287","40"
"1288","33"
"1289","54"
"1290","81"
"1291","81"
"1292","40"
"1293","0"
"1294","23"
"1295","29"
"1296","52"
"1297","15"
"1298","42"
"1299","85"
"1300","40"
"1301","60"
"1302","0"
"1303","58"
"1304","38"
"1305","40"
"1306","58"
"1307","38"
"1308","71"
"1309","71"
"1310","23"
"1311","38"
"1312","40"
"1313","25"
"1314","48"
"1315","0"
"1316","0"
"1317","52"
"1318","48"
"1319","48"
"1320","0"
"1321","0"
"1322","23"
"1323","0"
"1324","54"
"1325","71"
"1326","52"
"1327","38"
"1328","23"
"1329","8"
"1330","54"
"1331","38"
"1332","40"
"1333","54"
"1334","65"
"1335","77"
"1336","48"
"1337","96"
"1338","48"
"1339","96"
"1340","71"
"1341","40"
"1342","65"
"1343","63"
"1344","63"
"1345","65"
"1346","81"
"1347","81"
"1348","63"
"1349","83"
"1350","23"
"1351","81"
"1352","65"
"1353","54"
"1354","48"
"1355","81"
"1356","81"
"1357","38"
"1358","50"
"1359","63"
"1360","63"
"1361","48"
"1362","56"
"1363","58"
"1364","73"
"1365","96"
"1366","38"
"1367","73"
"1368","65"
"1369","73"
"1370","73"
"1371","83"
"1372","40"
"1373","38"
"1374","73"
"1375","85"
"1376","38"
"1377","40"
"1378","83"
"1379","50"
"1380","81"
"1381","96"
"1382","83"
"1383","83"
"1384","69"
"1385","83"
"1386","73"
"1387","73"
"1388","65"
"1389","54"
"1390","96"
"1391","96"
"1392","65"
"1393","83"
"1394","73"
"1395","67"
"1396","83"
"1397","73"
"1398","83"
"1399","83"
"1400","48"
"1401","35"
"1402","83"
"1403","83"
"1404","83"
"1405","83"
"1406","83"
"1407","56"
"1408","96"
"1409","81"
"1410","96"
"1411","81"
"1412","96"
"1413","96"
"1414","56"
"1415","96"
"1416","96"
"1417","81"
"1418","96"
"1419","81"
"1420","73"
"1421","15"
"1422",NA
"1423","96"
"1424","83"
"1425","73"
"1426","83"
"1427","77"
"1428","96"
"1429","83"
"1430","96"
"1431","96"
"1432","96"
"1433","96"
"1434","23"
"1435","0"
"1436","100"
"1437","65"
"1438","96"
"1439","23"
"1440","69"
"1441","0"
"1442","0"
"1443","15"
"1444","83"
"1445","0"
"1446","25"
"1447","50"
"1448","96"
"1449","33"
"1450","31"
"1451","31"
"1452","0"
"1453","8"
"1454","38"
"1455","8"
"1456","0"
"1457","0"
"1458","0"
"1459","58"
"1460","33"
"1461","38"
"1462","33"
"1463","38"
"1464","15"
"1465","29"
"1466","69"
"1467","69"
"1468","58"
"1469","0"
"1470","58"
"1471","83"
"1472","52"
"1473","83"
"1474","8"
"1475","73"
"1476","58"
"1477","0"
"1478","23"
"1479","52"
"1480","52"
"1481","50"
"1482","15"
"1483","29"
"1484","85"
"1485","85"
"1486","85"
"1487","73"
"1488","38"
"1489","54"
"1490",NA
"1491","52"
"1492","35"
"1493","96"
"1494","38"
"1495","44"
"1496","69"
"1497","54"
"1498","79"
"1499","69"
"1500","33"
"1501","23"
"1502","54"
"1503","58"
"1504","38"
"1505","40"
"1506","71"
"1507","38"
"1508","40"
"1509","81"
"1510","58"
"1511","40"
"1512","42"
"1513","40"
"1514","58"
"1515","25"
